Date,Platform,Campaign,Spend (INR),Revenue (INR),Clicks,Impressions,Purchases
2026-03-04,Facebook,Growify | TOF | Sale | India,590.98,0.0,210,6533,0.0
2026-03-04,Facebook,Growify | TOF | Sale | India,286.88,0.0,141,2898,0.0
2026-03-04,Facebook,Growify | TOF | Sale | India,2253.61,5250.0,2916,31149,1.0
2026-03-04,Facebook,Growify | TOF | Sale | India,128.889999,5123.7,83,1761,1.0
2026-03-04,Facebook,Growify | TOF | Sale | US,152.96,0.0,19,174,0.0
2026-03-04,Facebook,Growify | TOF | Sale | US,13.86,0.0,2,7,0.0
2026-03-04,Facebook,Growify | TOF | Sale | US,1552.95,0.0,158,1676,0.0
2026-03-04,Facebook,Growify | TOF | Sale | US,53.52,0.0,3,83,0.0
2026-03-04,Facebook,Growify | TOF | Sale | US,0.0,0.0,0,0,0.0
2026-03-04,Facebook,Growify | TOF | Sale | US,0.0,0.0,0,0,0.0
2026-03-04,Facebook,Growify | TOF | Sales | India,0.0,0.0,0,0,0.0
2026-03-05,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,1191.78,0.0,362,5650,0.0
2026-03-05,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,0.0,0.0,0,0,0.0
2026-03-05,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,0.0,0.0,0,0,0.0
2026-03-05,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,134.12,0.0,5,165,0.0
2026-03-05,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,601.48,0.0,54,1187,0.0
2026-03-05,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,252.78,0.0,20,330,0.0
2026-03-05,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,47.58,0.0,0,29,0.0
2026-03-05,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,351.55,0.0,10,197,0.0
2026-03-05,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,811.37,0.0,37,379,0.0
2026-03-05,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,110.37,0.0,4,79,0.0
2026-03-05,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,67.78,0.0,6,70,0.0
2026-03-05,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,226.4,0.0,21,228,0.0
2026-03-05,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,301.15,0.0,23,168,0.0
2026-03-05,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,378.92,0.0,45,419,0.0
2026-03-05,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,250.83,0.0,32,227,0.0
2026-03-05,Facebook,Growfiy | Tof | Traffic | Canada + US,0.0,0.0,0,0,0.0
2026-03-05,Facebook,Growify | Engagement | India,635.37,0.0,27,2247,0.0
2026-03-05,Facebook,Growify | Engagement | India,868.75,0.0,130,2500,0.0
2026-03-05,Facebook,Growify | Engagement | India,575.98,0.0,141,5864,0.0
2026-03-05,Facebook,Growify | Engagement | India,140.42,0.0,54,1661,0.0
2026-03-05,Facebook,Growify | Engagement | India,338.66,0.0,68,3648,0.0
2026-03-05,Facebook,Growify | MOF & BOF | Sale | India +intl,1187.91,0.0,3915,86367,0.0
2026-03-05,Facebook,Growify | MOF & BOF | Sale | India +intl,1290.23,0.0,3597,44804,0.0
2026-03-05,Facebook,Growify | MOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-05,Facebook,Growify | TOF | Sale | INDIA,221.46,0.0,165,14539,0.0
2026-03-05,Facebook,Growify | TOF | Sale | INDIA,280.72,0.0,427,14027,0.0
2026-03-05,Facebook,Growify | TOF | Sale | INDIA,343.38,0.0,487,11635,0.0
2026-03-05,Facebook,Growify | TOF | Sale | INDIA,0.94,0.0,0,51,0.0
2026-03-05,Facebook,Growify | TOF | Sale | INDIA,132.75,0.0,48,3327,0.0
2026-03-05,Facebook,Growify | TOF | Sale | INDIA,909.22,0.0,257,30991,0.0
2026-03-05,Facebook,Growify | TOF | Sale | INDIA,178.47,0.0,113,8193,0.0
2026-03-05,Facebook,Growify | TOF | Sale | INDIA,353.64,0.0,448,12258,0.0
2026-03-05,Facebook,Growify | TOF | Sale | INDIA,326.74,0.0,319,8750,0.0
2026-03-05,Facebook,Growify | TOF | Sale | INDIA,69.02,0.0,46,2014,0.0
2026-03-05,Facebook,Growify | TOF | Sale | INDIA,198.67,0.0,49,5095,0.0
2026-03-05,Facebook,Growify | TOF | Sale | INDIA,830.01,0.0,281,18648,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,1.96,0.0,0,5,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,877.89,17550.0,1433,13262,1.0
2026-03-05,Facebook,Growify | TOF | Sale | India,26.24,0.0,11,535,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,180.84,0.0,106,2250,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,955.42,0.0,444,9689,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,1067.319999,0.0,13774,105026,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,0.3,0.0,2,14,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,452.22,0.0,181,6232,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,1.56,0.0,0,7,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,267.079999,0.0,140,2690,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,1733.4,0.0,333,25728,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,2878.38,0.0,3389,45341,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,73.32,0.0,59,1570,0.0
2026-03-05,Facebook,Growify | TOF | Sale | India,81.22,0.0,67,1171,0.0
2026-03-05,Facebook,Growify | TOF | Sale | US,169.64,0.0,13,205,0.0
2026-03-05,Facebook,Growify | TOF | Sale | US,1.75,0.0,0,5,0.0
